change_id,system,change_type,change_size,requester_team,requested_window,rollback_plan_exists,rollback_plan_tested,similar_past_changes_count,similar_past_changes_failure_rate,system_incidents_last_90_days,schedule_conflict,description,outcome,true_risk_probability,risk_level
CHG-3139,Inventory-API,Database-Schema-Change,Small,Platform,Peak-Hours,Yes,Yes,31,0.09,0,No,Database-Schema-Change on Inventory-API (small change) requested by Platform during peak hours.,Success,0.15,Low
CHG-3140,Inventory-API,Patch,Medium,Security,Weekend,No,,27,0.211,0,No,Patch on Inventory-API (medium change) requested by Security during weekend.,Success,0.096,Low
CHG-3141,Search-Service,Infrastructure-Change,Small,Platform,Peak-Hours,Yes,No,48,0.316,0,No,Infrastructure-Change on Search-Service (small change) requested by Platform during peak hours.,Success,0.225,Medium
CHG-3142,Website-Frontend,Deployment,Small,SRE,Off-Hours-Weekday,Yes,Yes,6,0.097,0,No,Deployment on Website-Frontend (small change) requested by SRE during off hours weekday.,Success,0.031,Low
CHG-3143,Auth-Service,Deployment,Medium,Data-Engineering,Peak-Hours,Yes,Yes,59,0.087,2,No,Deployment on Auth-Service (medium change) requested by Data-Engineering during peak hours.,Success,0.176,Medium
CHG-3144,Inventory-API,Config-Update,Large,Security,Off-Hours-Weekday,Yes,Yes,46,0.083,0,Yes,Config-Update on Inventory-API (large change) requested by Security during off hours weekday.,Success,0.074,Low
CHG-3145,Search-Service,Patch,Small,SRE,Weekend,No,,23,0.128,1,Yes,Patch on Search-Service (small change) requested by SRE during weekend.,Success,0.182,Medium
CHG-3146,Notification-Service,Patch,Medium,Data-Engineering,Business-Hours-Weekday,Yes,No,24,0.142,1,No,Patch on Notification-Service (medium change) requested by Data-Engineering during business hours weekday.,Success,0.184,Medium
CHG-3147,Auth-Service,Database-Schema-Change,Small,Security,Business-Hours-Weekday,Yes,Yes,33,0.241,1,No,Database-Schema-Change on Auth-Service (small change) requested by Security during business hours weekday.,Success,0.214,Medium
CHG-3148,Billing-DB,Deployment,Medium,Security,Weekend,Yes,Yes,43,0.254,0,No,Deployment on Billing-DB (medium change) requested by Security during weekend.,Success,0.025,Low
CHG-3149,Billing-DB,Patch,Medium,Backend,Off-Hours-Weekday,No,,24,0.133,1,No,Patch on Billing-DB (medium change) requested by Backend during off hours weekday.,Success,0.066,Low
CHG-3150,Reporting-DB,Infrastructure-Change,Large,Security,Weekend,Yes,Yes,8,0.289,1,Yes,Infrastructure-Change on Reporting-DB (large change) requested by Security during weekend.,Failed,0.431,High
CHG-3151,Search-Service,Security-Patch,Medium,DevOps,Business-Hours-Weekday,No,,22,0.106,1,No,Security-Patch on Search-Service (medium change) requested by DevOps during business hours weekday.,Failed,0.317,Medium
CHG-3152,Payments-Service,Config-Update,Medium,DevOps,Business-Hours-Weekday,No,,30,0.153,1,No,Config-Update on Payments-Service (medium change) requested by DevOps during business hours weekday.,Success,0.192,Medium
CHG-3153,Notification-Service,Security-Patch,Small,DevOps,Weekend,Yes,Yes,11,0.065,0,No,Security-Patch on Notification-Service (small change) requested by DevOps during weekend.,Success,0.017,Low
CHG-3154,Auth-Service,Deployment,Small,Backend,Business-Hours-Weekday,Yes,Yes,2,0.281,1,No,Deployment on Auth-Service (small change) requested by Backend during business hours weekday.,Success,0.164,Medium
CHG-3155,Billing-DB,Security-Patch,Large,Data-Engineering,Off-Hours-Weekday,Yes,Yes,59,0.168,2,Yes,Security-Patch on Billing-DB (large change) requested by Data-Engineering during off hours weekday.,Failed,0.297,Medium
CHG-3156,Inventory-API,Database-Schema-Change,Small,DevOps,Business-Hours-Weekday,Yes,Yes,11,0.138,2,No,Database-Schema-Change on Inventory-API (small change) requested by DevOps during business hours weekday.,Success,0.201,Medium
CHG-3157,Search-Service,Config-Update,Medium,SRE,Business-Hours-Weekday,Yes,No,17,0.091,1,No,Config-Update on Search-Service (medium change) requested by SRE during business hours weekday.,Success,0.117,Low
CHG-3158,Reporting-DB,Patch,Medium,SRE,Off-Hours-Weekday,No,,59,0.173,1,No,Patch on Reporting-DB (medium change) requested by SRE during off hours weekday.,Success,0.146,Low
CHG-3159,Billing-DB,Patch,Small,Backend,Off-Hours-Weekday,Yes,Yes,18,0.013,1,Yes,Patch on Billing-DB (small change) requested by Backend during off hours weekday.,Success,0.069,Low
CHG-3160,Billing-DB,Infrastructure-Change,Large,Platform,Business-Hours-Weekday,Yes,Yes,2,0.136,1,Yes,Infrastructure-Change on Billing-DB (large change) requested by Platform during business hours weekday.,Failed,0.659,High
CHG-3161,Auth-Service,Infrastructure-Change,Medium,Security,Business-Hours-Weekday,Yes,Yes,53,0.121,2,No,Infrastructure-Change on Auth-Service (medium change) requested by Security during business hours weekday.,Success,0.236,Medium
CHG-3162,Reporting-DB,Security-Patch,Small,SRE,Off-Hours-Weekday,Yes,No,55,0.5,2,No,Security-Patch on Reporting-DB (small change) requested by SRE during off hours weekday.,Success,0.25,Medium
CHG-3163,Inventory-API,Deployment,Medium,Platform,Business-Hours-Weekday,Yes,Yes,57,0.118,1,No,Deployment on Inventory-API (medium change) requested by Platform during business hours weekday.,Success,0.057,Low
CHG-3164,Notification-Service,Security-Patch,Medium,Security,Business-Hours-Weekday,Yes,No,39,0.069,2,No,Security-Patch on Notification-Service (medium change) requested by Security during business hours weekday.,Success,0.118,Low
CHG-3165,Reporting-DB,Infrastructure-Change,Medium,SRE,Weekend,Yes,No,35,0.015,0,Yes,Infrastructure-Change on Reporting-DB (medium change) requested by SRE during weekend.,Success,0.2,Medium
CHG-3166,Inventory-API,Security-Patch,Small,SRE,Weekend,No,,6,0.205,2,Yes,Security-Patch on Inventory-API (small change) requested by SRE during weekend.,Success,0.435,High
CHG-3167,Search-Service,Security-Patch,Medium,Data-Engineering,Business-Hours-Weekday,Yes,Yes,12,0.084,0,No,Security-Patch on Search-Service (medium change) requested by Data-Engineering during business hours weekday.,Success,0.055,Low
CHG-3168,Notification-Service,Security-Patch,Medium,Backend,Off-Hours-Weekday,Yes,Yes,25,0.07,0,Yes,Security-Patch on Notification-Service (medium change) requested by Backend during off hours weekday.,Success,0.118,Low
CHG-3169,Notification-Service,Security-Patch,Large,Security,Peak-Hours,No,,9,0.139,1,No,Security-Patch on Notification-Service (large change) requested by Security during peak hours.,Success,0.465,High
CHG-3170,Billing-DB,Config-Update,Medium,Platform,Weekend,Yes,Yes,30,0.137,0,No,Config-Update on Billing-DB (medium change) requested by Platform during weekend.,Success,0.023,Low
CHG-3171,Payments-Service,Security-Patch,Large,Platform,Business-Hours-Weekday,Yes,Yes,17,0.193,2,No,Security-Patch on Payments-Service (large change) requested by Platform during business hours weekday.,Failed,0.271,Medium
CHG-3172,Payments-Service,Database-Schema-Change,Small,Data-Engineering,Business-Hours-Weekday,No,,33,0.217,0,No,Database-Schema-Change on Payments-Service (small change) requested by Data-Engineering during business hours weekday.,Success,0.267,Medium
CHG-3173,Billing-DB,Config-Update,Small,Security,Weekend,Yes,Yes,0,0.258,1,No,Config-Update on Billing-DB (small change) requested by Security during weekend.,Success,0.034,Low
CHG-3174,Billing-DB,Patch,Large,Data-Engineering,Weekend,Yes,Yes,57,0.156,0,No,Patch on Billing-DB (large change) requested by Data-Engineering during weekend.,Success,0.015,Low
CHG-3175,Reporting-DB,Infrastructure-Change,Medium,Platform,Off-Hours-Weekday,Yes,Yes,46,0.284,1,No,Infrastructure-Change on Reporting-DB (medium change) requested by Platform during off hours weekday.,Success,0.077,Low
CHG-3176,Search-Service,Security-Patch,Small,DevOps,Off-Hours-Weekday,Yes,Yes,17,0.149,1,No,Security-Patch on Search-Service (small change) requested by DevOps during off hours weekday.,Success,0.037,Low
CHG-3177,Notification-Service,Infrastructure-Change,Medium,Platform,Off-Hours-Weekday,No,,51,0.265,2,No,Infrastructure-Change on Notification-Service (medium change) requested by Platform during off hours weekday.,Success,0.254,Medium
CHG-3178,Auth-Service,Patch,Medium,Data-Engineering,Off-Hours-Weekday,No,,6,0.101,2,No,Patch on Auth-Service (medium change) requested by Data-Engineering during off hours weekday.,Success,0.124,Low
CHG-3179,Website-Frontend,Patch,Small,Security,Business-Hours-Weekday,Yes,Yes,28,0.1,1,No,Patch on Website-Frontend (small change) requested by Security during business hours weekday.,Success,0.052,Low
CHG-3180,Billing-DB,Deployment,Medium,Platform,Business-Hours-Weekday,No,,15,0.105,0,No,Deployment on Billing-DB (medium change) requested by Platform during business hours weekday.,Failed,0.146,Low
CHG-3181,Reporting-DB,Database-Schema-Change,Medium,Backend,Weekend,No,,31,0.072,0,No,Database-Schema-Change on Reporting-DB (medium change) requested by Backend during weekend.,Success,0.22,Medium
CHG-3182,Billing-DB,Deployment,Small,DevOps,Off-Hours-Weekday,Yes,No,51,0.183,0,No,Deployment on Billing-DB (small change) requested by DevOps during off hours weekday.,Success,0.029,Low
CHG-3183,Notification-Service,Infrastructure-Change,Small,DevOps,Peak-Hours,Yes,Yes,23,0.247,0,No,Infrastructure-Change on Notification-Service (small change) requested by DevOps during peak hours.,Success,0.241,Medium
CHG-3184,Reporting-DB,Config-Update,Medium,Data-Engineering,Business-Hours-Weekday,Yes,No,10,0.07,0,No,Config-Update on Reporting-DB (medium change) requested by Data-Engineering during business hours weekday.,Success,0.048,Low
CHG-3185,Website-Frontend,Database-Schema-Change,Medium,SRE,Business-Hours-Weekday,Yes,Yes,52,0.15,0,No,Database-Schema-Change on Website-Frontend (medium change) requested by SRE during business hours weekday.,Success,0.114,Low
CHG-3186,Payments-Service,Database-Schema-Change,Large,Platform,Business-Hours-Weekday,No,,9,0.297,1,Yes,Database-Schema-Change on Payments-Service (large change) requested by Platform during business hours weekday.,Failed,0.912,High
CHG-3187,Auth-Service,Patch,Small,Backend,Business-Hours-Weekday,Yes,No,41,0.189,3,No,Patch on Auth-Service (small change) requested by Backend during business hours weekday.,Success,0.179,Medium
CHG-3188,Billing-DB,Database-Schema-Change,Medium,Data-Engineering,Business-Hours-Weekday,Yes,Yes,3,0.202,0,No,Database-Schema-Change on Billing-DB (medium change) requested by Data-Engineering during business hours weekday.,Caused-Incident,0.167,Medium
CHG-3189,Inventory-API,Security-Patch,Small,Backend,Weekend,No,,35,0.144,2,Yes,Security-Patch on Inventory-API (small change) requested by Backend during weekend.,Success,0.266,Medium
CHG-3190,Auth-Service,Deployment,Medium,Data-Engineering,Business-Hours-Weekday,Yes,No,27,0.067,1,No,Deployment on Auth-Service (medium change) requested by Data-Engineering during business hours weekday.,Success,0.183,Medium
CHG-3191,Billing-DB,Security-Patch,Small,Data-Engineering,Business-Hours-Weekday,Yes,Yes,3,0.064,2,No,Security-Patch on Billing-DB (small change) requested by Data-Engineering during business hours weekday.,Success,0.118,Low
CHG-3192,Search-Service,Security-Patch,Small,Data-Engineering,Weekend,Yes,Yes,6,0.065,1,Yes,Security-Patch on Search-Service (small change) requested by Data-Engineering during weekend.,Success,0.088,Low
CHG-3193,Payments-Service,Deployment,Small,Platform,Off-Hours-Weekday,Yes,Yes,31,0.187,0,No,Deployment on Payments-Service (small change) requested by Platform during off hours weekday.,Success,0.019,Low
CHG-3194,Auth-Service,Config-Update,Large,Data-Engineering,Business-Hours-Weekday,No,,37,0.054,1,No,Config-Update on Auth-Service (large change) requested by Data-Engineering during business hours weekday.,Success,0.19,Medium
CHG-3195,Inventory-API,Patch,Medium,Platform,Off-Hours-Weekday,No,,58,0.106,1,Yes,Patch on Inventory-API (medium change) requested by Platform during off hours weekday.,Success,0.249,Medium
CHG-3196,Reporting-DB,Config-Update,Medium,Backend,Off-Hours-Weekday,Yes,No,59,0.061,0,No,Config-Update on Reporting-DB (medium change) requested by Backend during off hours weekday.,Success,0.013,Low
CHG-3197,Reporting-DB,Security-Patch,Large,SRE,Weekend,Yes,Yes,40,0.05,1,No,Security-Patch on Reporting-DB (large change) requested by SRE during weekend.,Success,0.053,Low
CHG-3198,Website-Frontend,Infrastructure-Change,Large,Data-Engineering,Off-Hours-Weekday,No,,52,0.176,0,Yes,Infrastructure-Change on Website-Frontend (large change) requested by Data-Engineering during off hours weekday.,Success,0.325,Medium
CHG-3199,Reporting-DB,Config-Update,Medium,DevOps,Business-Hours-Weekday,Yes,Yes,15,0.051,0,No,Config-Update on Reporting-DB (medium change) requested by DevOps during business hours weekday.,Success,0.038,Low
CHG-3200,Auth-Service,Security-Patch,Medium,Platform,Peak-Hours,Yes,Yes,42,0.254,0,No,Security-Patch on Auth-Service (medium change) requested by Platform during peak hours.,Success,0.132,Low
CHG-3201,Website-Frontend,Infrastructure-Change,Medium,DevOps,Business-Hours-Weekday,Yes,Yes,18,0.093,2,No,Infrastructure-Change on Website-Frontend (medium change) requested by DevOps during business hours weekday.,Success,0.307,Medium
CHG-3202,Search-Service,Security-Patch,Small,Platform,Business-Hours-Weekday,Yes,No,4,0.152,1,No,Security-Patch on Search-Service (small change) requested by Platform during business hours weekday.,Success,0.16,Medium
CHG-3203,Website-Frontend,Patch,Medium,Platform,Off-Hours-Weekday,Yes,No,18,0.045,0,Yes,Patch on Website-Frontend (medium change) requested by Platform during off hours weekday.,Success,0.145,Low
CHG-3204,Search-Service,Security-Patch,Small,Platform,Business-Hours-Weekday,Yes,No,11,0.197,1,No,Security-Patch on Search-Service (small change) requested by Platform during business hours weekday.,Success,0.259,Medium
CHG-3205,Payments-Service,Infrastructure-Change,Medium,SRE,Business-Hours-Weekday,Yes,Yes,29,0.143,1,No,Infrastructure-Change on Payments-Service (medium change) requested by SRE during business hours weekday.,Success,0.124,Low
CHG-3206,Auth-Service,Infrastructure-Change,Small,Platform,Peak-Hours,No,,0,0.392,2,Yes,Infrastructure-Change on Auth-Service (small change) requested by Platform during peak hours.,Failed,0.951,High
CHG-3207,Notification-Service,Infrastructure-Change,Small,SRE,Weekend,Yes,No,12,0.373,0,Yes,Infrastructure-Change on Notification-Service (small change) requested by SRE during weekend.,Failed,0.344,Medium
CHG-3208,Search-Service,Infrastructure-Change,Medium,DevOps,Weekend,Yes,Yes,40,0.202,1,No,Infrastructure-Change on Search-Service (medium change) requested by DevOps during weekend.,Success,0.054,Low
CHG-3209,Notification-Service,Deployment,Small,Data-Engineering,Weekend,Yes,Yes,9,0.317,2,No,Deployment on Notification-Service (small change) requested by Data-Engineering during weekend.,Success,0.091,Low
CHG-3210,Billing-DB,Infrastructure-Change,Medium,Data-Engineering,Off-Hours-Weekday,No,,50,0.131,0,No,Infrastructure-Change on Billing-DB (medium change) requested by Data-Engineering during off hours weekday.,Success,0.101,Low
CHG-3211,Payments-Service,Infrastructure-Change,Large,Platform,Off-Hours-Weekday,Yes,Yes,11,0.341,0,No,Infrastructure-Change on Payments-Service (large change) requested by Platform during off hours weekday.,Success,0.209,Medium
CHG-3212,Payments-Service,Database-Schema-Change,Small,DevOps,Business-Hours-Weekday,Yes,Yes,42,0.114,3,Yes,Database-Schema-Change on Payments-Service (small change) requested by DevOps during business hours weekday.,Caused-Incident,0.608,High
CHG-3213,Payments-Service,Security-Patch,Large,Backend,Weekend,Yes,Yes,15,0.235,0,Yes,Security-Patch on Payments-Service (large change) requested by Backend during weekend.,Success,0.183,Medium
CHG-3214,Inventory-API,Infrastructure-Change,Medium,Backend,Business-Hours-Weekday,Yes,Yes,23,0.185,2,Yes,Infrastructure-Change on Inventory-API (medium change) requested by Backend during business hours weekday.,Success,0.475,High
CHG-3215,Search-Service,Patch,Medium,SRE,Business-Hours-Weekday,Yes,No,47,0.074,0,No,Patch on Search-Service (medium change) requested by SRE during business hours weekday.,Success,0.051,Low
CHG-3216,Auth-Service,Config-Update,Medium,SRE,Off-Hours-Weekday,Yes,Yes,40,0.088,0,Yes,Config-Update on Auth-Service (medium change) requested by SRE during off hours weekday.,Success,0.053,Low
CHG-3217,Auth-Service,Patch,Small,Data-Engineering,Business-Hours-Weekday,No,,53,0.052,2,No,Patch on Auth-Service (small change) requested by Data-Engineering during business hours weekday.,Success,0.171,Medium
CHG-3218,Reporting-DB,Patch,Small,Platform,Off-Hours-Weekday,Yes,Yes,48,0.282,1,Yes,Patch on Reporting-DB (small change) requested by Platform during off hours weekday.,Success,0.084,Low
CHG-3219,Billing-DB,Database-Schema-Change,Small,SRE,Business-Hours-Weekday,Yes,No,57,0.079,0,Yes,Database-Schema-Change on Billing-DB (small change) requested by SRE during business hours weekday.,Failed,0.23,Medium
CHG-3220,Payments-Service,Config-Update,Small,SRE,Business-Hours-Weekday,Yes,Yes,38,0.354,1,No,Config-Update on Payments-Service (small change) requested by SRE during business hours weekday.,Success,0.087,Low
CHG-3221,Notification-Service,Patch,Small,DevOps,Weekend,Yes,No,56,0.078,1,No,Patch on Notification-Service (small change) requested by DevOps during weekend.,Success,0.021,Low
CHG-3222,Notification-Service,Security-Patch,Small,Security,Business-Hours-Weekday,Yes,Yes,3,0.152,3,No,Security-Patch on Notification-Service (small change) requested by Security during business hours weekday.,Success,0.256,Medium
CHG-3223,Payments-Service,Database-Schema-Change,Small,Backend,Off-Hours-Weekday,Yes,Yes,1,0.16,0,No,Database-Schema-Change on Payments-Service (small change) requested by Backend during off hours weekday.,Success,0.093,Low
CHG-3224,Search-Service,Security-Patch,Medium,Backend,Business-Hours-Weekday,No,,47,0.23,0,No,Security-Patch on Search-Service (medium change) requested by Backend during business hours weekday.,Failed,0.139,Low
CHG-3225,Reporting-DB,Patch,Medium,Platform,Weekend,Yes,Yes,40,0.051,1,No,Patch on Reporting-DB (medium change) requested by Platform during weekend.,Success,0.026,Low
CHG-3226,Notification-Service,Database-Schema-Change,Small,Security,Weekend,Yes,No,30,0.224,0,No,Database-Schema-Change on Notification-Service (small change) requested by Security during weekend.,Success,0.082,Low
CHG-3227,Website-Frontend,Patch,Small,SRE,Business-Hours-Weekday,No,,8,0.097,0,No,Patch on Website-Frontend (small change) requested by SRE during business hours weekday.,Success,0.114,Low
CHG-3228,Website-Frontend,Database-Schema-Change,Medium,Security,Peak-Hours,No,,54,0.124,1,No,Database-Schema-Change on Website-Frontend (medium change) requested by Security during peak hours.,Failed,0.426,High
CHG-3229,Inventory-API,Security-Patch,Medium,Backend,Peak-Hours,No,,3,0.037,1,No,Security-Patch on Inventory-API (medium change) requested by Backend during peak hours.,Success,0.379,Medium
CHG-3230,Search-Service,Security-Patch,Medium,SRE,Off-Hours-Weekday,Yes,Yes,59,0.066,0,Yes,Security-Patch on Search-Service (medium change) requested by SRE during off hours weekday.,Success,0.061,Low
CHG-3231,Payments-Service,Database-Schema-Change,Small,DevOps,Business-Hours-Weekday,Yes,No,40,0.039,4,No,Database-Schema-Change on Payments-Service (small change) requested by DevOps during business hours weekday.,Caused-Incident,0.612,High
CHG-3232,Inventory-API,Deployment,Medium,DevOps,Business-Hours-Weekday,Yes,Yes,47,0.04,1,No,Deployment on Inventory-API (medium change) requested by DevOps during business hours weekday.,Success,0.034,Low
CHG-3233,Auth-Service,Database-Schema-Change,Medium,Platform,Business-Hours-Weekday,No,,26,0.032,1,Yes,Database-Schema-Change on Auth-Service (medium change) requested by Platform during business hours weekday.,Caused-Incident,0.449,High
CHG-3234,Website-Frontend,Infrastructure-Change,Medium,Backend,Weekend,No,,45,0.16,2,No,Infrastructure-Change on Website-Frontend (medium change) requested by Backend during weekend.,Success,0.236,Medium
CHG-3235,Website-Frontend,Database-Schema-Change,Medium,DevOps,Peak-Hours,No,,59,0.137,2,Yes,Database-Schema-Change on Website-Frontend (medium change) requested by DevOps during peak hours.,Failed,0.797,High
CHG-3236,Search-Service,Config-Update,Small,Security,Weekend,Yes,Yes,50,0.02,0,No,Config-Update on Search-Service (small change) requested by Security during weekend.,Success,0.007,Low
CHG-3237,Billing-DB,Database-Schema-Change,Medium,Data-Engineering,Off-Hours-Weekday,Yes,Yes,53,0.141,2,No,Database-Schema-Change on Billing-DB (medium change) requested by Data-Engineering during off hours weekday.,Success,0.178,Medium
CHG-3238,Reporting-DB,Patch,Large,Data-Engineering,Business-Hours-Weekday,Yes,Yes,37,0.078,2,No,Patch on Reporting-DB (large change) requested by Data-Engineering during business hours weekday.,Success,0.152,Medium
CHG-3239,Auth-Service,Deployment,Small,Platform,Weekend,No,,19,0.107,1,No,Deployment on Auth-Service (small change) requested by Platform during weekend.,Success,0.098,Low
CHG-3240,Reporting-DB,Patch,Medium,Backend,Off-Hours-Weekday,No,,46,0.099,4,No,Patch on Reporting-DB (medium change) requested by Backend during off hours weekday.,Success,0.266,Medium
CHG-3241,Reporting-DB,Deployment,Large,Backend,Off-Hours-Weekday,Yes,Yes,0,0.431,3,Yes,Deployment on Reporting-DB (large change) requested by Backend during off hours weekday.,Failed,0.754,High
CHG-3242,Auth-Service,Deployment,Medium,DevOps,Business-Hours-Weekday,Yes,No,50,0.224,2,No,Deployment on Auth-Service (medium change) requested by DevOps during business hours weekday.,Success,0.167,Medium
CHG-3243,Payments-Service,Deployment,Medium,Data-Engineering,Off-Hours-Weekday,Yes,No,32,0.075,1,No,Deployment on Payments-Service (medium change) requested by Data-Engineering during off hours weekday.,Success,0.078,Low
CHG-3244,Reporting-DB,Deployment,Small,Backend,Off-Hours-Weekday,Yes,Yes,19,0.248,2,No,Deployment on Reporting-DB (small change) requested by Backend during off hours weekday.,Success,0.162,Medium
CHG-3245,Reporting-DB,Patch,Medium,SRE,Business-Hours-Weekday,Yes,Yes,21,0.068,0,Yes,Patch on Reporting-DB (medium change) requested by SRE during business hours weekday.,Success,0.229,Medium
CHG-3246,Reporting-DB,Patch,Medium,DevOps,Off-Hours-Weekday,Yes,No,11,0.26,0,No,Patch on Reporting-DB (medium change) requested by DevOps during off hours weekday.,Success,0.074,Low
CHG-3247,Billing-DB,Deployment,Small,Security,Weekend,No,,1,0.017,0,No,Deployment on Billing-DB (small change) requested by Security during weekend.,Success,0.054,Low
CHG-3248,Reporting-DB,Infrastructure-Change,Large,Platform,Peak-Hours,No,,45,0.059,2,No,Infrastructure-Change on Reporting-DB (large change) requested by Platform during peak hours.,Failed,0.475,High
CHG-3249,Notification-Service,Infrastructure-Change,Large,Data-Engineering,Business-Hours-Weekday,No,,14,0.143,0,No,Infrastructure-Change on Notification-Service (large change) requested by Data-Engineering during business hours weekday.,Success,0.374,Medium
CHG-3250,Reporting-DB,Infrastructure-Change,Small,Data-Engineering,Off-Hours-Weekday,No,,12,0.163,1,Yes,Infrastructure-Change on Reporting-DB (small change) requested by Data-Engineering during off hours weekday.,Failed,0.439,High
CHG-3251,Auth-Service,Infrastructure-Change,Medium,Security,Off-Hours-Weekday,Yes,No,20,0.294,0,Yes,Infrastructure-Change on Auth-Service (medium change) requested by Security during off hours weekday.,Success,0.283,Medium
CHG-3252,Auth-Service,Patch,Medium,Platform,Peak-Hours,No,,37,0.156,1,No,Patch on Auth-Service (medium change) requested by Platform during peak hours.,Success,0.171,Medium
CHG-3253,Inventory-API,Database-Schema-Change,Large,Security,Business-Hours-Weekday,No,,13,0.069,0,No,Database-Schema-Change on Inventory-API (large change) requested by Security during business hours weekday.,Failed,0.396,Medium
CHG-3254,Payments-Service,Security-Patch,Medium,Security,Weekend,Yes,Yes,46,0.065,0,No,Security-Patch on Payments-Service (medium change) requested by Security during weekend.,Success,0.018,Low
CHG-3255,Billing-DB,Infrastructure-Change,Medium,SRE,Business-Hours-Weekday,Yes,Yes,8,0.214,3,Yes,Infrastructure-Change on Billing-DB (medium change) requested by SRE during business hours weekday.,Caused-Incident,0.793,High
CHG-3256,Auth-Service,Deployment,Large,Data-Engineering,Weekend,Yes,Yes,37,0.039,0,No,Deployment on Auth-Service (large change) requested by Data-Engineering during weekend.,Success,0.026,Low
CHG-3257,Notification-Service,Security-Patch,Medium,DevOps,Peak-Hours,Yes,No,36,0.211,0,No,Security-Patch on Notification-Service (medium change) requested by DevOps during peak hours.,Success,0.179,Medium
CHG-3258,Billing-DB,Deployment,Medium,DevOps,Business-Hours-Weekday,Yes,Yes,26,0.144,0,No,Deployment on Billing-DB (medium change) requested by DevOps during business hours weekday.,Success,0.063,Low
CHG-3259,Search-Service,Patch,Small,SRE,Off-Hours-Weekday,Yes,No,12,0.073,1,No,Patch on Search-Service (small change) requested by SRE during off hours weekday.,Success,0.062,Low
CHG-3260,Billing-DB,Database-Schema-Change,Small,Data-Engineering,Business-Hours-Weekday,No,,59,0.176,2,No,Database-Schema-Change on Billing-DB (small change) requested by Data-Engineering during business hours weekday.,Failed,0.407,High
CHG-3261,Inventory-API,Config-Update,Medium,Backend,Business-Hours-Weekday,Yes,No,42,0.08,1,No,Config-Update on Inventory-API (medium change) requested by Backend during business hours weekday.,Success,0.074,Low
CHG-3262,Auth-Service,Deployment,Medium,SRE,Business-Hours-Weekday,Yes,Yes,32,0.072,1,No,Deployment on Auth-Service (medium change) requested by SRE during business hours weekday.,Success,0.073,Low
CHG-3263,Search-Service,Security-Patch,Medium,Platform,Off-Hours-Weekday,Yes,Yes,30,0.005,0,Yes,Security-Patch on Search-Service (medium change) requested by Platform during off hours weekday.,Success,0.052,Low
CHG-3264,Notification-Service,Deployment,Large,Platform,Off-Hours-Weekday,No,,12,0.158,1,No,Deployment on Notification-Service (large change) requested by Platform during off hours weekday.,Success,0.185,Medium
CHG-3265,Search-Service,Config-Update,Small,Security,Off-Hours-Weekday,Yes,Yes,18,0.047,0,No,Config-Update on Search-Service (small change) requested by Security during off hours weekday.,Failed,0.015,Low
CHG-3266,Search-Service,Deployment,Small,Data-Engineering,Off-Hours-Weekday,Yes,Yes,12,0.135,0,No,Deployment on Search-Service (small change) requested by Data-Engineering during off hours weekday.,Success,0.021,Low
CHG-3267,Auth-Service,Patch,Large,Security,Peak-Hours,Yes,Yes,59,0.23,1,Yes,Patch on Auth-Service (large change) requested by Security during peak hours.,Failed,0.318,Medium
CHG-3268,Inventory-API,Deployment,Medium,Data-Engineering,Weekend,Yes,Yes,11,0.081,0,No,Deployment on Inventory-API (medium change) requested by Data-Engineering during weekend.,Failed,0.033,Low
CHG-3269,Notification-Service,Patch,Small,Platform,Off-Hours-Weekday,Yes,Yes,43,0.174,1,No,Patch on Notification-Service (small change) requested by Platform during off hours weekday.,Success,0.029,Low
CHG-3270,Notification-Service,Security-Patch,Medium,Backend,Weekend,Yes,No,7,0.252,0,No,Security-Patch on Notification-Service (medium change) requested by Backend during weekend.,Success,0.158,Medium
CHG-3271,Search-Service,Deployment,Small,Security,Business-Hours-Weekday,No,,22,0.31,1,No,Deployment on Search-Service (small change) requested by Security during business hours weekday.,Success,0.274,Medium
CHG-3272,Inventory-API,Database-Schema-Change,Medium,Backend,Business-Hours-Weekday,Yes,No,9,0.205,1,No,Database-Schema-Change on Inventory-API (medium change) requested by Backend during business hours weekday.,Failed,0.467,High
CHG-3273,Inventory-API,Security-Patch,Medium,DevOps,Weekend,Yes,Yes,9,0.261,1,Yes,Security-Patch on Inventory-API (medium change) requested by DevOps during weekend.,Success,0.184,Medium
CHG-3274,Search-Service,Infrastructure-Change,Medium,Security,Off-Hours-Weekday,Yes,Yes,11,0.428,2,No,Infrastructure-Change on Search-Service (medium change) requested by Security during off hours weekday.,Success,0.332,Medium
CHG-3275,Payments-Service,Infrastructure-Change,Large,Security,Weekend,No,,31,0.111,2,No,Infrastructure-Change on Payments-Service (large change) requested by Security during weekend.,Success,0.279,Medium
CHG-3276,Website-Frontend,Database-Schema-Change,Small,Security,Off-Hours-Weekday,Yes,Yes,59,0.047,1,No,Database-Schema-Change on Website-Frontend (small change) requested by Security during off hours weekday.,Success,0.044,Low
CHG-3277,Payments-Service,Database-Schema-Change,Medium,Platform,Weekend,Yes,Yes,47,0.157,1,No,Database-Schema-Change on Payments-Service (medium change) requested by Platform during weekend.,Success,0.103,Low
CHG-3278,Search-Service,Security-Patch,Small,Security,Off-Hours-Weekday,Yes,Yes,54,0.207,1,Yes,Security-Patch on Search-Service (small change) requested by Security during off hours weekday.,Success,0.099,Low
